multi(a),exp(b),especie
1.5084719101323865e-05,3.079159152502197,Albacore
5.569140190363944e-05,2.78431534794968,Atlantic Bluefin tuna
0.06813467024141208,1.3263361593016902,Atlantic blue marlin
0.03334931454473359,1.2435068873035202,Atlantic sailfish
1.5163432358341309,0.5336184222739601,Atlantic white marlin
0.049371172126106665,1.2639161466478892,Bigeye tuna
0.004940175377313555,1.7523346517388232,Blue shark
0.00016113840839692933,2.4812147262420834,Porbeagle
0.0016810005679769049,1.9983103640934008,Shortfin mako
0.0006473311791308446,2.100094017792732,Skipjack tuna
0.016129844328348398,1.4667160738832785,Swordfish
0.0017623042454861105,2.0165741425339436,Yellowfin tuna
